epoch,lr-AdamW,step,train_loss,val_accuracy,val_f1,val_loss,val_mse,val_pearson,val_precision,val_recall,val_spearman
4,,1244,0.1199718788266182,,,,,,,,
,2.0610561056105607e-08,1249,,,,,,,,,
4,,1249,0.05501836538314819,,,,,,,,
,2.0693069306930694e-08,1254,,,,,,,,,
4,,1254,0.07016237080097198,,,,,,,,
,2.0775577557755775e-08,1259,,,,,,,,,
4,,1259,0.07666301727294922,,,,,,,,
,2.0858085808580855e-08,1264,,,,,,,,,
4,,1264,0.10611966997385025,,,,,,,,
,2.094059405940594e-08,1269,,,,,,,,,
4,,1269,0.08819536119699478,,,,,,,,
,2.1023102310231023e-08,1274,,,,,,,,,
4,,1274,0.12613990902900696,,,,,,,,
,2.1105610561056104e-08,1279,,,,,,,,,
4,,1279,0.09917466342449188,,,,,,,,
,2.1188118811881188e-08,1284,,,,,,,,,
4,,1284,0.11001811921596527,,,,,,,,
,2.127062706270627e-08,1289,,,,,,,,,
4,,1289,0.07253987342119217,,,,,,,,
,2.1353135313531352e-08,1294,,,,,,,,,
4,,1294,0.08037327975034714,,,,,,,,
,2.1435643564356436e-08,1299,,,,,,,,,
4,,1299,0.1006452888250351,,,,,,,,
,2.1518151815181517e-08,1304,,,,,,,,,
4,,1304,0.06138119474053383,,,,,,,,
,2.1600660066006598e-08,1309,,,,,,,,,
4,,1309,0.11147072911262512,,,,,,,,
,2.168316831683168e-08,1314,,,,,,,,,
4,,1314,0.08886109292507172,,,,,,,,
,2.1765676567656766e-08,1319,,,,,,,,,
4,,1319,0.07356619089841843,,,,,,,,
,2.1848184818481846e-08,1324,,,,,,,,,
4,,1324,0.12244153022766113,,,,,,,,
,2.1930693069306927e-08,1329,,,,,,,,,
4,,1329,0.1540868878364563,,,,,,,,
,2.2013201320132014e-08,1334,,,,,,,,,
4,,1334,0.08385740965604782,,,,,,,,
,2.2095709570957095e-08,1339,,,,,,,,,
4,,1339,0.1014765128493309,,,,,,,,
,2.2178217821782175e-08,1344,,,,,,,,,
4,,1344,0.08064188063144684,,,,,,,,
,2.2260726072607263e-08,1349,,,,,,,,,
4,,1349,0.05373247340321541,,,,,,,,
,2.2343234323432343e-08,1354,,,,,,,,,
4,,1354,0.08669745922088623,,,,,,,,
,2.2425742574257424e-08,1359,,,,,,,,,
4,,1359,0.06706822663545609,,,,,,,,
,2.2508250825082508e-08,1364,,,,,,,,,
4,,1364,0.09785623848438263,,,,,,,,
,2.259075907590759e-08,1369,,,,,,,,,
4,,1369,0.10919177532196045,,,,,,,,
,2.2673267326732672e-08,1374,,,,,,,,,
4,,1374,0.04924095422029495,,,,,,,,
,2.2755775577557756e-08,1379,,,,,,,,,
4,,1379,0.07928954064846039,,,,,,,,
,2.2838283828382837e-08,1384,,,,,,,,,
4,,1384,0.050794120877981186,,,,,,,,
,2.292079207920792e-08,1389,,,,,,,,,
4,,1389,0.20109158754348755,,,,,,,,
,2.3003300330033e-08,1394,,,,,,,,,
4,,1394,0.03654535487294197,,,,,,,,
,2.3085808580858085e-08,1399,,,,,,,,,
4,,1399,0.0919947475194931,,,,,,,,
,2.3168316831683166e-08,1404,,,,,,,,,
4,,1404,0.07042969018220901,,,,,,,,
,2.325082508250825e-08,1409,,,,,,,,,
4,,1409,0.06788542121648788,,,,,,,,
,2.3333333333333334e-08,1414,,,,,,,,,
4,,1414,0.06899842619895935,,,,,,,,
,2.3415841584158414e-08,1419,,,,,,,,,
4,,1419,0.09409508109092712,,,,,,,,
,2.3498349834983495e-08,1424,,,,,,,,,
4,,1424,0.05956466123461723,,,,,,,,
,2.3580858085808582e-08,1429,,,,,,,,,
4,,1429,0.08621963113546371,,,,,,,,
,2.3663366336633663e-08,1434,,,,,,,,,
4,,1434,0.08823052048683167,,,,,,,,
,2.3745874587458744e-08,1439,,,,,,,,,
4,,1439,0.0731230303645134,,,,,,,,
,2.3828382838283828e-08,1444,,,,,,,,,
4,,1444,0.057650160044431686,,,,,,,,
,2.391089108910891e-08,1449,,,,,,,,,
4,,1449,0.05525338649749756,,,,,,,,
